,store_id,store_name,business_hours,address,url
30,00000033,寿製麺 よしかわ 西台駅前店,"営業時間
[月～土]11時〜21時(L.O.20:30)[日・祝祭日]11時～２０時（LO19：30）
日曜営業
定休日
水曜日",東京都板橋区蓮根3-8-14,https://tabelog.com/tokyo/A1322/A132205/13228611/
31,00000034,中華そば 西川,"営業時間
11:00～15:00
日曜営業
定休日
月曜日、火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都世田谷区砧2-15-10 メゾンドオーポン 1F,https://tabelog.com/tokyo/A1318/A131813/13213036/
32,00000035,燦燦斗,"営業時間
18:00～20:30
日曜営業
定休日
月曜・木曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都北区中十条3-16-15,https://tabelog.com/tokyo/A1323/A132304/13038064/
33,00000036,らぁめん 山と樹,"営業時間
11:30～16:00
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都杉並区高円寺南5-21-7 高円寺マンション 107,https://tabelog.com/tokyo/A1319/A131904/13204607/
34,00000037,自家製中華そば としおか,"営業時間
11:00～14:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都新宿区弁天町20,https://tabelog.com/tokyo/A1305/A130504/13182315/
35,00000038,純手打ち だるま,"営業時間
11:30〜15:00
定休日
不定休‘（備考欄の営業カレンダー参照）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都杉並区和田1-18-3,https://tabelog.com/tokyo/A1319/A131903/13218715/
36,00000039,支那ソバ おさだ,"営業時間
[火・木・金]11:00～14:3018:00～20:00[月・日]11:00～16:00
日曜営業
定休日
水曜日、土曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都板橋区大山金井町38-1,https://tabelog.com/tokyo/A1322/A132203/13266841/
37,00000040,長男、ほそのたかし,"営業時間
平日の月曜日は『牛骨旨辛つけ麺』のみでの営業です！！平日11:00～14:50(L.O)17:30〜21:00(L.O)※土、日、祝日は中休みなしの通し営業となります。11:00-20:00(L.O)※12/27-30は11:00-20:00(L.O)の通し営業※12/31は9:00-15:00(L.O)の通し営業とさせていただきます。
日曜営業
定休日
12月はお休みありません！",東京都練馬区旭丘1-68-12 第4正道江古田ビル 1F,https://tabelog.com/tokyo/A1321/A132101/13261549/
38,00000041,らーめんMAIKAGURA,"営業時間
　11:30〜15:00 / 18:00〜20:00（但し、食材切れの際は営業を終了させていただく場合がございます。）
日曜営業
定休日
月曜日(祝祭日の場合は翌平日休み)",東京都世田谷区船橋1-38-4,https://tabelog.com/tokyo/A1318/A131813/13218425/
39,00000042,神名備,"営業時間
[水～金]11:45～14:00[土・日]12:00～14:0018:00～20:00※昼・夜ともにスープがなくなり次第終了
日曜営業
定休日
月曜日、火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都文京区千駄木4-21-3,https://tabelog.com/tokyo/A1311/A131105/13006070/
40,00000043,麺や金時,"営業時間
(ランチ)11:00～14:15（L.O）※14:15分前にオーダーストップする場合がございます。※基本的に営業中は電話に出れませんのでご了承下さい。(ディナー)18:00～19:45（L.O）※平日は19時30分前に材料が終了する事が多いです。※土、祭日の夜の営業は19時くらいで材料が終了する事がございます。営業中電話に出れませんのでご了承下さい
定休日
日曜日、月曜日",東京都練馬区小竹町1-2-7,https://tabelog.com/tokyo/A1321/A132101/13139195/
41,00000044,らぁめん 葉月,"営業時間
[水～土]11:30～14:0018:00～20:30[日・祝]11:30～15:00売り切れ次第終了
日曜営業
定休日
月曜日、火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都大田区雪谷大塚町11-8,https://tabelog.com/tokyo/A1317/A131714/13008248/
42,00000045,麺創庵 砂田,"営業時間
・平日（水曜日は朝昼のみ）　朝昼の部　9時〜14時（LO13時半）　夜の部　18時〜20時半（LO20時）・土日祝　朝昼の部　9時〜15時半（LO15時）
日曜営業
定休日
木曜日※ほか不定休はTwitterにて告知
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都豊島区巣鴨4-24-6 富士ビル,https://tabelog.com/tokyo/A1322/A132201/13246362/
43,00000046,らーめん亭 ひなり竜王,"営業時間
11:00～14:30 18:00～20:30(売り切れ時閉店)
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都大田区大森中2-14-17,https://tabelog.com/tokyo/A1315/A131503/13276299/
44,00000047,つけめん金龍,"営業時間
昼の部 11：00〜15：00夜の部 17：00〜20：30ラストオーダー※20:30までに列に並んでいただければ最後までご提供出来ます
定休日
【2023年1２月の休業日】12/1〜15は休まず営業します！！！※16(土)以降は台湾イベント出張がある為、未定です。改めてお知らせいたします。",東京都千代田区神田司町2-15-16 サトウビル 1F,https://tabelog.com/tokyo/A1310/A131002/13259807/
45,00000049,あさひ町内会,"営業時間
11:00～15:0017:00～20:30(L.O.)
日曜営業
定休日
月曜日(祝日は営業)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都板橋区板橋3-5-1 リビオタワー板橋 1F,https://tabelog.com/tokyo/A1322/A132205/13244535/
46,00000051,麺笑 巧真,"営業時間
[月～金]11:00～14:3018:00～22:00[土・日・祝]11:00～16:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都八王子市明神町4-12-2,https://tabelog.com/tokyo/A1329/A132904/13246669/
47,00000052,there is ramen,"営業時間
平日11時-16時 18時-21時30分土日祝11時-21時30分(通し営業)
日曜営業
定休日
無し",東京都杉並区天沼3-10-16,https://tabelog.com/tokyo/A1319/A131906/13277729/
48,00000053,つけ麺 和 東京本店,,東京都足立区西竹ノ塚1-12-9 共栄ビル 1F,https://tabelog.com/tokyo/A1324/A132404/13217032/
49,00000054,らぁめん小池,"営業時間
[平日]11:00〜14:30 / 18:00〜21:00[土日祝]11:00〜15:00 / 18:00〜21:00
日曜営業
定休日
【2023年1２月】12/1〜15は休まず営業します！！！※16(土)以降は台湾イベント出張がある為、未定です。改めてお知らせいたします。",東京都世田谷区上北沢4-19-18 上北沢ハイネスコーポ1F,https://tabelog.com/tokyo/A1318/A131809/13172994/
50,00000055,キング製麺,"営業時間
昼の部 11:00～15:00夜の部 17:30〜20:30
日曜営業
定休日
【2023年1２月の休業日】12/1〜15は休まず営業します！！！※16(土)以降は台湾イベント出張がある為、未定です。改めてお知らせいたします。",東京都北区王子本町1-14-1 高崎ビル 1F,https://tabelog.com/tokyo/A1323/A132303/13232817/
51,00000056,MENSHO,"営業時間
11:00～21:00 (L.O 20:40)年末年始は以下の営業時間です12/29: 通常営業12/30〜1/3 お休み1/4〜 通常営業
日曜営業
定休日
月曜",東京都文京区音羽1-17-16 中銀音羽マンシオン１F,https://tabelog.com/tokyo/A1323/A132302/13203848/
52,00000057,中華蕎麦 蘭鋳,"営業時間
12：00～14：00※材料切れの場合早期終了
定休日
日曜日・祝日 ・土曜日（第1第3第5） ・月曜日（第2第4第5）",東京都杉並区堀ノ内2-13-13,https://tabelog.com/tokyo/A1319/A131903/13113532/
53,00000058,西永福の煮干箱,"営業時間
[月～土]11:30～15:0018:00～21:00[日]11:30～15:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都杉並区永福3-55-3,https://tabelog.com/tokyo/A1318/A131805/13263789/
